b	R
50,01	905
50,02	765
50,03	578
50,04	580
50,05	602
50,06	749
50,07	801
50,08	1013
50,09	1043
50,10	1101
50,11	1182
50,12	1139
50,13	1073
50,14	880
50,15	758
50,16	669
50,17	527
50,18	434
50,19	335
50,20	316
50,21	192
50,22	167
50,23	121
50,24	98
50,25	69
50,26	79
50,27	70
50,28	62
50,29	56
50,30	45
50,31	35
50,32	45
50,33	44
50,34	34
50,35	32
50,36	30
50,37	30
50,38	36
50,39	36
50,40	28
50,41	27
50,42	19
50,43	19
50,44	24
50,45	19
50,46	27
50,47	31
50,48	14
50,49	18
50,50	17
50,51	16
50,52	23
50,53	18
50,54	17
50,55	21
50,56	18
50,57	22
50,58	18
50,59	12
50,60	15
50,61	11
50,62	16
50,63	18
50,64	14
50,65	13
50,66	14
50,67	21
50,68	13
50,69	14
50,70	17
50,71	13
50,72	10
50,73	18
50,74	8
50,75	15
50,76	18
50,77	11
50,78	18
50,79	9
50,80	11
50,81	14
50,82	10
50,83	13
50,84	11
50,85	8
50,86	16
50,87	16
50,88	19
50,89	15
50,90	14
50,91	8
50,92	9
50,93	10
50,94	12
50,95	11
50,96	18
50,97	10
50,98	16
50,99	9
51,00	14
51,01	18
51,02	11
51,03	8
51,04	9
51,05	8
51,06	13
51,07	13
51,08	8
51,09	11
51,10	9
51,11	9
51,12	7
51,13	17
51,14	8
51,15	8
51,16	7
51,17	8
51,18	13
51,19	11
51,20	12
51,21	14
51,22	7
51,23	14
51,24	12
51,25	19
51,26	9
51,27	12
51,28	12
51,29	11
51,30	13
51,31	5
51,32	8
51,33	8
51,34	8
51,35	11
51,36	13
51,37	13
51,38	10
51,39	8
51,40	9
51,41	4
51,42	8
51,43	10
51,44	8
51,45	15
51,46	4
51,47	12
51,48	9
51,49	4
51,50	10
51,51	8
51,52	10
51,53	13
51,54	11
51,55	12
51,56	11
51,57	11
51,58	5
51,59	14
51,60	7
51,61	10
51,62	9
51,63	10
51,64	7
51,65	7
51,66	6
51,67	10
51,68	7
51,69	13
51,70	7
51,71	7
51,72	9
51,73	12
51,74	9
51,75	8
51,76	10
51,77	5
51,78	6
51,79	9
51,80	8
51,81	7
51,82	8
51,83	12
51,84	4
51,85	7
51,86	9
51,87	5
51,88	13
51,89	15
51,90	9
51,91	9
51,92	12
51,93	16
51,94	12
51,95	6
51,96	12
51,97	8
51,98	6
51,99	5
52,00	9
